deck_list,players
"<input name=""c"" type=""hidden"" value=""2 Forest||1 Island||2 Swamp||4 Breeding Pool||2 Brazen Borrower||2 Blacklance Paragon||2 Murderous Rider||1 Castle Vantress||2 Fabled Passage||2 Chemister's Insight||3 Ritual of Soot||2 Assassin's Trophy||3 Temple of Malady||1 Disdainful Stroke||1 Dismal Backwater||1 Agent of Treachery||2 Nightpack Ambusher||3 Shifting Ceratops||3 Negate||4 Overgrown Tomb||4 Watery Grave||1 Thrashing Brontodon||2 Cry of the Carnarium||4 Growth Spiral||3 Frilled Mystic||4 Hydroid Krasis||3 Temple of Mystery||2 Duress||1 Massacre Girl||2 Ob Nixilis's Cruelty||4 Nissa, Who Shakes the World||3 Casualties of War||""/>","<a class=""player"" href=""search?player=Itou+Takurou"">Itou Takurou</a>"
"<input name=""c"" type=""hidden"" value=""8 Forest||7 Island||4 Breeding Pool||3 Brazen Borrower||3 Gadwick, the Wizened||4 Mystical Dispute||3 Gilded Goose||3 Wicked Wolf||1 Castle Vantress||1 Fabled Passage||4 Lovestruck Beast||2 Chemister's Insight||2 Sinister Sabotage||3 Opt||1 Disdainful Stroke||2 Aether Gust||4 Nightpack Ambusher||1 Negate||3 Quench||4 Growth Spiral||3 Hydroid Krasis||4 Temple of Mystery||4 Nissa, Who Shakes the World||1 Return to Nature||""/>","<a class=""player"" href=""search?player=Saitou+Yuuki"">Saitou Yuuki</a>"
"<input name=""c"" type=""hidden"" value=""18 Swamp||4 Ayara, First of Locthwain||4 Cauldron Familiar||4 Murderous Rider||4 Witch's Oven||4 Castle Locthwain||2 Ritual of Soot||2 Leyline of the Void||4 Noxious Grasp||1 Thought Distortion||4 Treacherous Blessing||4 Gray Merchant of Asphodel||2 Duress||2 Blast Zone||2 Disfigure||""/>","<a class=""player"" href=""search?player=Roquefort"">Roquefort</a>"
"<input name=""c"" type=""hidden"" value=""16 Plains||4 Loyal Pegasus||4 Faerie Guidemother||4 Giant Killer||3 Glass Casket||4 Hushbringer||4 Heraldic Banner||4 Castle Ardenvale||1 Haazda Marshal||4 Healer's Hawk||4 Hunted Witness||4 Venerated Loxodon||3 Devout Decree||4 Raise the Alarm||4 Tithe Taker||3 Unbreakable Formation||4 Gideon Blackblade||1 Gideon's Sacrifice||""/>","<a class=""player"" href=""search?player=lampalot"">lampalot</a>"
"<input name=""c"" type=""hidden"" value=""6 Mountain||10 Swamp||4 Blood Crypt||2 Epic Downfall||2 Murderous Rider||2 Bonecrusher Giant||4 Embercleave||4 Robber of the Rich||1 Castle Locthwain||2 Fabled Passage||3 Embereth Shieldbreaker||1 Rankle, Master of Pranks||2 Midnight Reaper||1 Cavalier of Night||4 Knight of the Ebon Legion||2 Legion's End||2 Noxious Grasp||2 Drill Bit||4 Gutterbones||4 Spawn of Mayhem||2 Light Up the Stage||2 Judith, the Scourge Diva||2 Footlight Fiend||2 Duress||1 Massacre Girl||4 Dreadhorde Butcher||""/>","<a class=""player"" href=""search?player=Phoenix+Bradshaw"">Phoenix Bradshaw</a>"
"<input name=""c"" type=""hidden"" value=""7 Forest||7 Island||4 Breeding Pool||4 Brazen Borrower||4 Mystical Dispute||2 Castle Vantress||1 Fabled Passage||2 Lovestruck Beast||2 Chemister's Insight||2 Sinister Sabotage||3 Opt||4 Aether Gust||4 Nightpack Ambusher||1 Negate||2 Quench||4 Growth Spiral||4 Frilled Mystic||2 Hydroid Krasis||4 Temple of Mystery||1 Commence the Endgame||4 Nissa, Who Shakes the World||3 Paradise Druid||2 Return to Nature||2 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Logan+Nettles"">Logan Nettles</a>"
"<input name=""c"" type=""hidden"" value=""9 Forest||8 Island||4 Breeding Pool||3 Gadwick, the Wizened||3 Mystical Dispute||1 Castle Garenbrig||2 Castle Vantress||1 Quasiduplicate||1 Disdainful Stroke||4 Aether Gust||4 Cavalier of Thorns||4 Leafkin Druid||3 Shifting Ceratops||4 Risen Reef||1 Negate||2 Mass Manipulation||4 Growth Spiral||4 Hydroid Krasis||4 Temple of Mystery||4 Nissa, Who Shakes the World||1 Paradise Druid||3 Return to Nature||1 Tamiyo, Collector of Tales||""/>","<a class=""player"" href=""search?player=Drake+Sasser"">Drake Sasser</a>"
"<input name=""c"" type=""hidden"" value=""4 Forest||2 Island||1 Mountain||3 Unsummon||4 Breeding Pool||4 Brazen Borrower||2 Mystical Dispute||4 Bonecrusher Giant||2 Questing Beast||1 Castle Vantress||3 Fabled Passage||3 Ionize||4 Steam Vents||4 Stomping Ground||1 Temple of Epiphany||1 Disdainful Stroke||3 Aether Gust||2 Tale's End||2 Chandra, Awakened Inferno||2 Flame Sweep||4 Nightpack Ambusher||2 Cindervines||3 Frilled Mystic||3 Hydroid Krasis||1 Temple of Mystery||1 Lazotep Plating||3 Nissa, Who Shakes the World||4 Paradise Druid||2 Sorcerous Spyglass||""/>","<a class=""player"" href=""search?player=Inoue+Hiroki"">Inoue Hiroki</a>"
"<input name=""c"" type=""hidden"" value=""7 Forest||7 Swamp||4 Foulmire Knight||4 Murderous Rider||2 Order of Midnight||2 Beanstalk Giant||4 Edgewall Innkeeper||2 Castle Locthwain||2 Garruk, Cursed Huntsman||4 Lovestruck Beast||2 Rankle, Master of Pranks||2 Find-Finality||4 Temple of Malady||2 Legion's End||2 Noxious Grasp||4 Overgrown Tomb||3 Thrashing Brontodon||4 Duress||2 Davriel, Rogue Shadowmage||2 Massacre Girl||4 Paradise Druid||2 Casualties of War||2 Sorcerous Spyglass||2 Disfigure||""/>","<a class=""player"" href=""search?player=Tyler+Goad"">Tyler Goad</a>"
"<input name=""c"" type=""hidden"" value=""4 Shock||14 Mountain||4 Bonecrusher Giant||3 Redcap Melee||3 Rimrock Knight||4 Slaying Fire||2 Castle Embereth||3 Dwarven Mine||2 Torbran, Thane of Red Fell||4 Experimental Frenzy||3 Lava Coil||3 Legion Warboss||4 Runaway Steam-Kin||1 Chandra's Pyrohelix||2 Flame Sweep||2 Fry||4 Leyline of Combustion||3 Scorch Spitter||3 Light Up the Stage||4 Skewer the Critics||3 Tibalt, Rakish Instigator||""/>","<a class=""player"" href=""search?player=Tyler+Cook"">Tyler Cook</a>"
