,num,name
689,4,Breeding Pool
690,3,Mystical Dispute
691,2,Epic Downfall
692,3,Gilded Goose
693,3,Circuitous Route
694,1,Assassin's Trophy
695,2,Temple of Malady
696,4,Noxious Grasp
697,4,Cavalier of Thorns
698,3,Shifting Ceratops
699,2,Voracious Hydra
700,4,Overgrown Tomb
701,4,Watery Grave
702,4,Growth Spiral
703,4,Hydroid Krasis
704,1,Temple of Mystery
705,2,Duress
706,4,Arboreal Grazer
707,4,"Nissa, Who Shakes the World"
708,4,"Casualties of War, "
709,1,Disenchant
710,7,Island
711,3,Plains
712,4,Hallowed Fountain
713,3,Glass Casket
714,1,Realm-Cloaked Giant
715,4,Brazen Borrower
716,1,"Gadwick, the Wizened"
717,4,Mystical Dispute
718,3,Castle Ardenvale
719,2,Castle Vantress
720,3,Fabled Passage
721,1,Dawn of Hope
722,4,Chemister's Insight
723,4,Absorb
724,4,Tranquil Cove
725,2,Devout Decree
726,3,Aether Gust
727,1,Agent of Treachery
728,1,Mass Manipulation
729,1,"Ugin, the Ineffable"
730,1,Finale of Glory
731,4,Prison Realm
732,4,Dovin's Veto
733,4,"Teferi, Time Raveler"
734,4,Time Wipe
735,1,"Sorcerous Spyglass, "
736,3,Planar Cleansing
737,8,Island
738,4,Plains
739,4,Hallowed Fountain
740,2,Giant Killer
741,3,Glass Casket
742,1,Realm-Cloaked Giant
743,4,Brazen Borrower
744,3,"Gadwick, the Wizened"
745,4,Mystical Dispute
746,2,Castle Ardenvale
747,3,Castle Vantress
748,2,Fabled Passage
749,2,Chemister's Insight
750,4,Absorb
751,4,Opt
752,4,Tranquil Cove
753,3,Devout Decree
754,3,Aether Gust
755,1,Mass Manipulation
756,1,Finale of Revelation
757,4,Dovin's Veto
758,4,"Teferi, Time Raveler"
759,2,"Time Wipe, "
760,3,Planar Cleansing
761,7,Island
762,5,Plains
763,4,Hallowed Fountain
764,4,Giant Killer
765,3,Glass Casket
766,4,Brazen Borrower
767,2,"Gadwick, the Wizened"
768,4,Mystical Dispute
769,2,Castle Ardenvale
770,3,Castle Vantress
771,3,Fabled Passage
772,2,Chemister's Insight
773,4,Absorb
774,3,Opt
775,4,Tranquil Cove
776,3,Devout Decree
777,3,Aether Gust
778,1,Mass Manipulation
779,1,Finale of Revelation
780,3,Dovin's Veto
781,4,"Teferi, Time Raveler"
782,3,"Time Wipe, "
783,1,Planar Cleansing
784,7,Island
785,5,Plains
786,4,Hallowed Fountain
787,3,Brazen Borrower
788,3,"Gadwick, the Wizened"
789,4,Mystical Dispute
790,2,Castle Ardenvale
791,2,Castle Vantress
792,1,Fabled Passage
793,3,Chemister's Insight
794,4,Absorb
795,4,Tranquil Cove
796,2,Apostle of Purifying Light
797,2,Devout Decree
798,4,Aether Gust
799,1,Agent of Treachery
800,2,Essence Capture
801,1,Mass Manipulation
802,2,Deputy of Detention
803,1,Finale of Glory
